Location,Abbeyhill,Balgreen and Roseburn,"Blackford, West Mains and Mayfield Road",Bonnington,Boswall and Pilton,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Comely Bank,"Craigleith, Orchard Brae and Crewe Toll",Dalry and Fountainbridge,Deans Village,Drylaw,Easter Road and Hawkhill Avenue,Gorgie East,Gorgie West,Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Hillside and Calton Hill,"Inverleith, Goldenacre and Warriston",Leith (Albert Street),Leith (Hermitage and Prospect Bank),Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Morningside,Morningside and Craighouse,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,North Leith and Newhaven,"Old Town, Princes Street and Leith Street",Pilrig,Polwarth,Prestonfield,Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Slateford and Chesser,South Leith,Stockbridge,The Grange,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Abbeyhill,0.0,5.2620000000000005,3.127,2.16,4.075,1.8419999999999999,1.42,3.22,1.179,1.939,3.187,4.01,3.372,3.353,5.06,0.743,4.02,4.795,4.74,4.448,5.584,1.9240000000000002,0.65,2.8930000000000002,0.9420000000000001,1.483,2.275,2.719,0.475,1.891,3.697,3.885,4.677,4.667,1.365,2.1630000000000003,1.926,2.719,1.452,1.4509999999999998,3.843,2.522,1.52,1.218,4.5169999999999995,5.48,1.329,2.641,2.747,2.215,2.521,3.404,2.8489999999999998,4.99,2.76,1.5090000000000001
Balgreen and Roseburn,5.2620000000000005,0.0,4.917,5.073,3.7710000000000004,4.2989999999999995,4.627,2.541,4.359,3.76,2.4930000000000003,2.2840000000000003,2.004,1.921,2.418,5.522,1.429,1.028,4.021,4.199,3.609,5.734,4.913,3.935,5.114,6.3,3.8369999999999997,3.303,5.705,3.978,2.562,3.278,2.971,0.9129999999999999,4.178999999999999,3.287,4.734,5.607,3.8289999999999997,5.164,1.808,5.5920000000000005,6.78,6.352,1.584,1.419,5.693,3.0439999999999996,4.239,6.265,2.862,4.457,5.138,3.145,6.087999999999999,6.537999999999999
"Blackford, West Mains and Mayfield Road",3.127,4.917,0.0,4.967,5.982,4.261,4.069,2.43,2.194,3.906,4.29,5.093,3.113,3.679,6.093999999999999,3.865,3.5180000000000002,3.985,6.627999999999999,6.481,7.067,4.981,3.503,5.04,3.912,4.574,1.45,1.744,3.4819999999999998,1.68,2.373,1.8359999999999999,2.6180000000000003,4.859,3.6,3.639,1.205,5.632999999999999,2.665,4.388999999999999,3.115,1.0590000000000002,4.0489999999999995,4.166,3.451,4.28,4.436,4.098,0.757,5.331,2.5860000000000003,5.75,5.577999999999999,6.407,5.794,3.162
Bonnington,2.16,5.073,4.967,0.0,2.38,0.8759999999999999,0.9,4.008,2.7739999999999996,1.454,2.5810000000000004,3.065,3.748,3.315,3.886,1.597,4.287,5.032,2.9539999999999997,2.592,3.99,0.785,1.558,1.327,1.2209999999999999,1.808,3.716,3.897,2.1719999999999997,3.366,4.584,5.0889999999999995,5.702999999999999,4.236000000000001,1.4269999999999998,1.975,3.8,0.691,2.407,0.727,4.322,4.5889999999999995,2.923,2.241,4.992,5.822,1.1909999999999998,2.042,4.388,1.263,3.205,1.4509999999999998,0.691,3.529,1.053,3.489
Boswall and Pilton,4.075,3.7710000000000004,5.982,2.38,0.0,2.24,2.693,4.071000000000001,4.064,2.2359999999999998,1.851,1.507,3.47,2.779,1.76,3.775,3.695,4.208,0.6759999999999999,0.522,1.61,3.157,3.4339999999999997,1.188,3.2969999999999997,4.1739999999999995,4.534,4.397,4.281000000000001,4.328,4.582,5.322,5.622000000000001,2.862,2.76,2.355,5.046,2.519,3.4139999999999997,2.96,3.952,6.002000000000001,5.206,4.548,4.439,4.963,3.5260000000000002,1.885,5.252000000000001,3.576,3.495,1.014,1.973,1.2,3.029,5.57
Broughton North and Powderhall,1.8419999999999999,4.2989999999999995,4.261,0.8759999999999999,2.24,0.0,0.46399999999999997,3.135,2.102,0.583,1.84,2.477,2.878,2.478,3.431,1.571,3.431,4.187,2.9,2.6060000000000003,3.7889999999999997,1.436,1.196,1.053,1.083,2.1430000000000002,2.9330000000000003,3.06,2.045,2.6069999999999998,3.7119999999999997,4.237,4.832,3.505,0.665,1.107,3.1460000000000004,1.551,1.619,0.9009999999999999,3.451,4.018,3.017,2.398,4.125,4.9719999999999995,1.482,1.2590000000000001,3.6310000000000002,1.9669999999999999,2.335,1.597,1.34,3.2319999999999998,1.923,3.33
Broughton South,1.42,4.627,4.069,0.9,2.693,0.46399999999999997,0.0,3.225,1.8769999999999998,0.87,2.22,2.91,3.065,2.752,3.884,1.1079999999999999,3.657,4.43,3.346,3.0389999999999997,4.251,1.187,0.7709999999999999,1.505,0.62,1.7209999999999999,2.825,3.0380000000000003,1.588,2.469,3.792,4.244,4.898,3.8689999999999998,0.5710000000000001,1.3519999999999999,2.909,1.579,1.527,0.547,3.628,3.727,2.5540000000000003,1.9409999999999998,4.315,5.2010000000000005,1.0759999999999998,1.6280000000000001,3.491,1.705,2.416,1.983,1.528,3.696,1.841,2.885
Bruntsfield,3.22,2.541,2.43,4.008,4.071000000000001,3.135,3.225,0.0,2.099,2.577,2.2230000000000003,2.872,0.711,1.3780000000000001,3.7739999999999996,3.7230000000000003,1.113,1.7380000000000002,4.638,4.593,4.85,4.4030000000000005,3.1239999999999997,3.458,3.464,4.566,1.319,0.764,3.695,1.536,0.5770000000000001,1.251,1.7,2.432,2.656,2.0869999999999997,2.221,4.686,1.837,3.742,0.752,3.051,4.689,4.428999999999999,1.334,2.305,4.104,2.313,1.714,4.9,0.809,4.187,4.406000000000001,4.203,5.04,4.226
"Canongate, Southside and Dumbiedykes",1.179,4.359,2.194,2.7739999999999996,4.064,2.102,1.8769999999999998,2.099,0.0,1.847,2.6919999999999997,3.5639999999999996,2.377,2.54,4.638999999999999,1.825,3.016,3.762,4.737,4.523,5.388,2.8289999999999997,1.349,2.991,1.7590000000000001,2.638,1.105,1.5430000000000001,1.6440000000000001,0.7170000000000001,2.54,2.707,3.498,3.9010000000000002,1.4380000000000002,1.76,1.044,3.44,0.684,2.21,2.779,1.9480000000000002,2.592,2.394,3.425,4.397,2.3409999999999997,2.285,1.662,3.2289999999999996,1.5030000000000001,3.658,3.3939999999999997,4.745,3.622,2.182
Canonmills and New Town North,1.939,3.76,3.906,1.454,2.2359999999999998,0.583,0.87,2.577,1.847,0.0,1.361,2.1069999999999998,2.295,1.9069999999999998,3.133,1.886,2.8489999999999998,3.609,2.912,2.679,3.665,1.9969999999999999,1.3619999999999999,1.148,1.42,2.58,2.513,2.5660000000000003,2.252,2.227,3.154,3.713,4.277,3.0,0.575,0.524,2.865,2.116,1.244,1.405,2.8689999999999998,3.795,3.3,2.741,3.542,4.3919999999999995,1.945,0.77,3.23,2.5269999999999997,1.788,1.845,1.839,3.0580000000000003,2.504,3.445
