Locations,Penalty
Abbeyhill,87.5254
Balgreen and Roseburn,106.6933
"Blackford, West Mains and Mayfield Road",102.2216
Bonnington,101.7424
Boswall and Pilton,107.6012
Broughton North and Powderhall,83.9579
Broughton South,82.1086
Bruntsfield,68.0549
"Canongate, Southside and Dumbiedykes",60.9929
Canonmills and New Town North,75.2121
Comely Bank,83.2455
"Craigleith, Orchard Brae and Crewe Toll",101.5646
Dalry and Fountainbridge,74.67699999999999
Deans Village,81.8749
Drylaw,96.2489
Easter Road and Hawkhill Avenue,94.4006
Gorgie East,93.1261
Gorgie West,103.2935
Granton and Royston Mains,103.4087
Granton South and Wardieburn,90.527
Granton West and Salvesen,101.4535
Great Junction Street,92.8553
Hillside and Calton Hill,81.4203
"Inverleith, Goldenacre and Warriston",104.1959
Leith (Albert Street),87.0404
Leith (Hermitage and Prospect Bank),98.6338
Marchmont East and Sciennes,52.8072
Marchmont West,49.9785
Meadowbank and Abbeyhill North,97.2224
Meadows and Southside,48.6815
Merchiston and Greenhill,86.3809
Morningside,99.5022
Morningside and Craighouse,103.6877
Murrayfield and Ravelston,113.9973
New Town East and Gayfield,69.9282
New Town West,69.9859
Newington and Dalkeith Road,46.3413
North Leith and Newhaven,95.7101
"Old Town, Princes Street and Leith Street",48.3474
Pilrig,90.6384
Polwarth,83.7511
Prestonfield,97.3567
Restalrig (Loganlea) and Craigentinny West,97.861
Restalrig and Lochend,99.0171
Shandon,100.4991
Slateford and Chesser,102.7534
South Leith,89.6618
Stockbridge,78.0697
The Grange,84.4649
The Shore and Constitution Street,105.2935
Tollcross,64.9476
Trinity,114.6855
Trinity East and The Dudleys,106.2618
West Pilton,93.5174
Western Harbour and Leith Docks,117.5879
Willowbrae and Duddingston Village,106.1969
