Locations,Penalty
Balgreen and Roseburn,106.6933
Blackhall,118.3021
Broughton North and Powderhall,83.9579
Broughton South,82.1086
Bruntsfield,68.0549
Comely Bank,83.2455
Dalry and Fountainbridge,74.67699999999999
Drylaw,96.2489
Gorgie East,93.1261
Hillside and Calton Hill,81.4203
Marchmont East and Sciennes,52.8072
Marchmont West,49.9785
Meadowbank and Abbeyhill North,97.2224
Merchiston and Greenhill,86.3809
New Town East and Gayfield,69.9282
Newington and Dalkeith Road,46.3413
"Old Town, Princes Street and Leith Street",48.3474
Prestonfield,97.3567
Stockbridge,78.0697
Tollcross,64.9476
