Row Labels,Balgreen and Roseburn,Blackhall,Broughton North and Powderhall,Broughton South,Bruntsfield,Comely Bank,Dalry and Fountainbridge,Drylaw,Gorgie East,Hillside and Calton Hill,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Merchiston and Greenhill,New Town East and Gayfield,Newington and Dalkeith Road,"Old Town, Princes Street and Leith Street",Prestonfield,Stockbridge,Tollcross
Balgreen and Roseburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackhall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broughton North and Powderhall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Broughton South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
Bruntsfield,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4
Comely Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dalry and Fountainbridge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4
Drylaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgie East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Hillside and Calton Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1
Marchmont East and Sciennes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
Marchmont West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
Meadowbank and Abbeyhill North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Merchiston and Greenhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
New Town East and Gayfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
Newington and Dalkeith Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"Old Town, Princes Street and Leith Street",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
Prestonfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockbridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
Tollcross,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0
