,0
"#Available_Scooters_(0,_0)",7.0
"#Available_Scooters_(0,_1)",7.0
"#Available_Scooters_(0,_10)",1.0
"#Available_Scooters_(0,_11)",1.0
"#Available_Scooters_(0,_12)",2.0
"#Available_Scooters_(0,_13)",7.0
"#Available_Scooters_(0,_14)",7.0
"#Available_Scooters_(0,_15)",7.0
"#Available_Scooters_(0,_16)",7.0
"#Available_Scooters_(0,_17)",7.0
"#Available_Scooters_(0,_18)",7.0
"#Available_Scooters_(0,_19)",7.0
"#Available_Scooters_(0,_2)",5.0
"#Available_Scooters_(0,_3)",1.0
"#Available_Scooters_(0,_4)",0.0
"#Available_Scooters_(0,_5)",0.0
"#Available_Scooters_(0,_6)",0.0
"#Available_Scooters_(0,_7)",0.0
"#Available_Scooters_(0,_8)",0.0
"#Available_Scooters_(0,_9)",0.0
"#Available_Scooters_(1,_0)",12.0
"#Available_Scooters_(1,_1)",11.0
"#Available_Scooters_(1,_10)",0.0
"#Available_Scooters_(1,_11)",4.0
"#Available_Scooters_(1,_12)",7.0
"#Available_Scooters_(1,_13)",9.0
"#Available_Scooters_(1,_14)",11.0
"#Available_Scooters_(1,_15)",12.0
"#Available_Scooters_(1,_16)",12.0
"#Available_Scooters_(1,_17)",12.0
"#Available_Scooters_(1,_18)",12.0
"#Available_Scooters_(1,_19)",12.0
"#Available_Scooters_(1,_2)",7.0
"#Available_Scooters_(1,_3)",3.0
"#Available_Scooters_(1,_4)",0.0
"#Available_Scooters_(1,_5)",0.0
"#Available_Scooters_(1,_6)",0.0
"#Available_Scooters_(1,_7)",0.0
"#Available_Scooters_(1,_8)",0.0
"#Available_Scooters_(1,_9)",0.0
"#Available_Scooters_(10,_0)",10.0
"#Available_Scooters_(10,_1)",4.0
"#Available_Scooters_(10,_10)",8.0
"#Available_Scooters_(10,_11)",8.0
"#Available_Scooters_(10,_12)",10.0
"#Available_Scooters_(10,_13)",9.0
"#Available_Scooters_(10,_14)",7.0
"#Available_Scooters_(10,_15)",9.0
"#Available_Scooters_(10,_16)",10.0
"#Available_Scooters_(10,_17)",10.0
"#Available_Scooters_(10,_18)",10.0
"#Available_Scooters_(10,_19)",10.0
"#Available_Scooters_(10,_2)",8.0
"#Available_Scooters_(10,_3)",10.0
"#Available_Scooters_(10,_4)",5.0
"#Available_Scooters_(10,_5)",4.0
"#Available_Scooters_(10,_6)",3.0
"#Available_Scooters_(10,_7)",3.0
"#Available_Scooters_(10,_8)",3.0
"#Available_Scooters_(10,_9)",3.0
"#Available_Scooters_(11,_0)",2.0
"#Available_Scooters_(11,_1)",13.0
"#Available_Scooters_(11,_10)",83.0
"#Available_Scooters_(11,_11)",64.0
"#Available_Scooters_(11,_12)",48.0
"#Available_Scooters_(11,_13)",22.0
"#Available_Scooters_(11,_14)",11.0
"#Available_Scooters_(11,_15)",5.0
"#Available_Scooters_(11,_16)",3.0
"#Available_Scooters_(11,_17)",3.0
"#Available_Scooters_(11,_18)",2.0
"#Available_Scooters_(11,_19)",2.0
"#Available_Scooters_(11,_2)",30.0
"#Available_Scooters_(11,_3)",63.0
"#Available_Scooters_(11,_4)",77.0
"#Available_Scooters_(11,_5)",83.0
"#Available_Scooters_(11,_6)",85.0
"#Available_Scooters_(11,_7)",85.0
"#Available_Scooters_(11,_8)",86.0
"#Available_Scooters_(11,_9)",87.0
"#Available_Scooters_(12,_0)",13.0
"#Available_Scooters_(12,_1)",7.0
"#Available_Scooters_(12,_10)",9.0
"#Available_Scooters_(12,_11)",13.0
"#Available_Scooters_(12,_12)",13.0
"#Available_Scooters_(12,_13)",13.0
"#Available_Scooters_(12,_14)",13.0
"#Available_Scooters_(12,_15)",13.0
"#Available_Scooters_(12,_16)",12.0
"#Available_Scooters_(12,_17)",13.0
"#Available_Scooters_(12,_18)",13.0
"#Available_Scooters_(12,_19)",13.0
"#Available_Scooters_(12,_2)",7.0
"#Available_Scooters_(12,_3)",13.0
"#Available_Scooters_(12,_4)",7.0
"#Available_Scooters_(12,_5)",6.0
"#Available_Scooters_(12,_6)",5.0
"#Available_Scooters_(12,_7)",5.0
"#Available_Scooters_(12,_8)",4.0
"#Available_Scooters_(12,_9)",3.0
"#Available_Scooters_(13,_0)",3.0
"#Available_Scooters_(13,_1)",18.0
"#Available_Scooters_(13,_10)",87.0
"#Available_Scooters_(13,_11)",72.0
"#Available_Scooters_(13,_12)",57.0
"#Available_Scooters_(13,_13)",30.0
"#Available_Scooters_(13,_14)",17.0
"#Available_Scooters_(13,_15)",6.0
"#Available_Scooters_(13,_16)",4.0
"#Available_Scooters_(13,_17)",4.0
"#Available_Scooters_(13,_18)",3.0
"#Available_Scooters_(13,_19)",3.0
"#Available_Scooters_(13,_2)",31.0
"#Available_Scooters_(13,_3)",66.0
"#Available_Scooters_(13,_4)",89.0
"#Available_Scooters_(13,_5)",98.0
"#Available_Scooters_(13,_6)",100.0
"#Available_Scooters_(13,_7)",100.0
"#Available_Scooters_(13,_8)",100.0
"#Available_Scooters_(13,_9)",100.0
"#Available_Scooters_(14,_0)",37.0
"#Available_Scooters_(14,_1)",34.0
"#Available_Scooters_(14,_10)",1.0
