Location,Abbeyhill,Baberton and Juniper Green,Balerno and Bonnington Village,Balgreen and Roseburn,"Barnton, Cammo and Cramond South","Bingham, Magdalene and The Christians","Blackford, West Mains and Mayfield Road",Blackhall,Bonaly and The Pentlands,Bonnington,Boswall and Pilton,Broomhouse and Bankhead,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Carrick Knowe,Clermiston and Drumbrae,Clovenstone and Wester Hailes,Colinton and Kingsknowe,Colinton Mains and Firrhill,Comely Bank,Comiston and Swanston,Corstorphine,Corstorphine North,Corstorphine South,Craigentinny,"Craigleith, Orchard Brae and Crewe Toll",Craiglockhart,Craigmillar,Cramond,Currie East,Currie West,"Dalmeny, Kirkliston and Newbridge",Dalry and Fountainbridge,Deans Village,Drylaw,Duddingston and Portobello South,East Craigs North,East Craigs South,Easter Road and Hawkhill Avenue,Fairmilehead,Fernieside and Moredun South,Gilmerton South and the Murrays,Gorgie East,Gorgie West,"Gracemount, Southhouse and Burdiehouse",Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Greenbank and The Braids,Hillside and Calton Hill,Hyvots and Gilmerton,"Inverleith, Goldenacre and Warriston","Jewel, Brunstane and Newcraighall",Joppa,Leith (Albert Street),Leith (Hermitage and Prospect Bank),Liberton East,Liberton West and Braid Hills,Longstone and Saughton,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Moredun and Craigour,Morningside,Morningside and Craighouse,Mortonhall and Anwickhill,Mountcastle,Muirhouse,Murrayburn and Wester Hailes North,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,Niddrie,North Leith and Newhaven,Northfield and Piershill,"Old Town, Princes Street and Leith Street",Oxgangs,Parkhead and Sighthill,Pilrig,Polwarth,Portobello,Prestonfield,Queensferry East,Queensferry West,"Ratho, Ingliston and Gogar",Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Silverknowes and Davidson's Mains,Slateford and Chesser,South Gyle,South Leith,Stenhouse and Saughton Mains,Stockbridge,The Calders,The Grange,The Inch,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Abbeyhill,,9.093,13.486,5.262,8.697,3.793,3.127,5.744,8.269,2.16,4.075,7.524,1.842,1.42,3.22,1.179,1.939,6.77,7.541,8.301,7.148,6.37,3.187,6.502,7.171,7.342,7.535,2.238,4.01,5.765,3.064,8.55,10.477,11.486,14.5,3.372,3.353,5.06,2.967,8.468,8.433,0.743,6.038,5.316,6.256,4.02,4.795,5.944,4.74,4.448,5.584,1.924,5.348,0.65,5.834,2.893,4.516,4.466,0.942,1.483,5.053,4.513,6.808,2.275,2.719,0.475,1.891,3.697,4.898,3.885,4.677,5.756,2.283,5.972,7.937,4.667,1.365,2.163,1.926,3.814,2.719,1.762,1.452,6.436,7.789,1.451,3.843,3.334,2.522,14.234,15.579,12.594,1.52,1.218,4.517,6.488,5.48,8.44,1.329,6.321,2.641,8.774,2.747,3.993,2.215,2.521,3.404,2.849,4.99,2.76,1.509
Baberton and Juniper Green,9.093,,4.4,4.54,6.261,11.531,7.273,6.021,1.604,9.468,8.298,2.287,8.63,8.871,5.874,7.963,8.053,3.38,5.4,0.8,2.362,3.532,6.946,4.345,3.909,4.699,3.014,11.13,6.823,3.361,9.503,7.275,1.386,2.397,8.995,5.822,6.154,6.771,10.974,5.312,4.474,9.559,5.425,9.626,9.171,5.214,4.444,8.023,8.481,8.7,7.847,10.045,4.295,8.945,9.05,8.434,11.878,12.592,9.242,10.395,8.588,7.623,2.384,7.007,6.46,9.568,7.329,5.434,9.178,5.535,4.689,7.261,10.84,7.111,1.343,5.453,8.343,7.535,7.807,10.658,10.058,10.367,7.681,3.896,1.761,9.417,5.286,11.896,8.291,10.788,11.876,5.56,10.555,10.298,4.596,6.699,3.671,3.369,9.871,3.205,7.433,1.266,6.955,8.248,10.571,6.6,8.991,9.623,7.528,10.513,10.002
Balerno and Bonnington Village,13.486,4.4,,8.806,9.181,15.733,11.474,9.967,5.413,13.828,12.473,6.372,13.004,13.259,10.266,12.346,12.431,7.439,8.816,5.199,6.494,7.554,11.275,8.071,7.672,8.262,6.835,15.49,11.055,7.73,13.668,10.31,3.013,2.05,9.105,10.22,10.526,10.822,15.235,8.33,7.556,13.959,9.123,13.413,12.711,9.605,8.829,11.601,12.557,12.824,11.764,14.427,8.478,13.345,12.689,12.74,16.007,16.817,13.64,14.794,12.39,11.547,6.758,11.363,10.828,13.961,11.698,9.809,13.029,9.834,8.98,10.895,15.167,10.946,5.65,9.704,12.737,11.917,12.127,14.781,14.398,14.709,12.079,7.77,5.936,13.806,9.685,16.202,12.521,11.852,12.581,5.614,14.936,14.694,8.996,10.409,8.066,6.602,14.267,7.484,11.787,5.021,11.245,12.26,14.955,11,13.249,13.941,11.565,14.866,14.344
Balgreen and Roseburn,5.262,4.54,8.806,,4.219,8.565,4.917,1.991,4.497,5.073,3.771,2.457,4.299,4.627,2.541,4.359,3.76,1.526,2.883,3.776,3.674,3.862,2.493,4.78,1.958,2.38,2.288,7.488,2.284,2.344,6.876,4.644,5.86,6.757,9.561,2.004,1.921,2.418,7.831,3.633,3.339,5.522,5.306,8.066,8.238,1.429,1.028,7.26,4.021,4.199,3.609,5.734,3.422,4.913,7.932,3.935,9.127,9.476,5.114,6.3,7.183,6.118,2.222,3.837,3.303,5.705,3.978,2.562,7.535,3.278,2.971,6.581,7.403,3.089,3.203,0.913,4.179,3.287,4.734,8.039,5.607,6.877,3.829,4.31,2.87,5.164,1.808,8.497,5.592,9.964,11.278,7.345,6.78,6.352,1.584,3.001,1.419,3.183,5.693,1.336,3.044,3.807,4.239,6.342,6.265,2.862,4.457,5.138,3.145,6.088,6.538
"Barnton, Cammo and Cramond South",8.697,6.261,9.181,4.219,,12.367,9.089,2.954,7.212,7.568,5.273,4.294,7.134,7.584,6.664,8.107,6.805,3.631,1.337,5.88,6.922,7.597,5.512,8.623,2.767,1.961,3.457,10.883,4.698,6.147,10.899,1.13,7.008,7.434,5.874,6.015,5.604,3.706,11.573,0.949,1.79,8.676,9.345,12.266,12.456,5.573,5.233,11.462,4.912,5.301,3.792,8.352,7.457,8.164,12.151,6.247,13.009,13.15,8.194,9.265,11.399,10.336,5.138,7.874,7.397,9.052,7.922,6.769,11.735,7.497,7.132,10.764,10.977,3.013,5.262,4.275,7.367,6.536,8.727,12.016,7.791,10.45,7.457,8.097,4.772,8.008,5.981,12.028,9.656,5.758,7.084,5.072,10.104,9.523,5.795,2.355,5.331,2.897,8.599,4.403,6.062,5.002,8.377,10.535,8.813,6.751,6.287,7.244,4.074,8.302,10.159
"Bingham, Magdalene and The Christians",3.793,11.531,15.733,8.565,12.367,,4.266,9.423,10.32,5.703,7.852,10.481,5.612,5.163,6.093,4.27,5.724,9.958,11.144,10.805,9.254,8.182,6.885,7.815,10.523,10.845,10.7,2.214,7.742,8.24,2.078,12.302,12.844,13.881,18.07,6.561,6.807,8.81,0.828,12.038,11.885,4.124,6.911,3.578,4.845,7.16,7.831,5.284,8.508,8.196,9.376,5.126,7.267,4.421,4.503,6.665,0.774,1.102,4.576,4.059,4.13,4.477,9.556,4.777,5.346,3.58,4.59,6.319,3.541,6.018,6.849,5.609,1.674,9.746,10.617,8.168,5.152,5.875,3.879,1.171,6.045,2.093,4.91,8.012,10.61,4.994,6.843,1.347,3.241,17.987,19.332,15.84,2.839,3.516,7.383,10.235,8.319,11.697,4.538,9.347,6.385,11.552,4.616,3.675,5.053,5.717,7.1,6.368,8.781,5.829,2.285
"Blackford, West Mains and Mayfield Road",3.127,7.273,11.474,4.917,9.089,4.266,,6.366,6.062,4.967,5.982,6.409,4.261,4.069,2.43,2.194,3.906,6.081,7.766,6.561,4.988,3.935,4.29,3.711,6.785,7.297,6.766,4.341,5.093,4.038,2.233,9.33,8.578,9.615,14.423,3.113,3.679,6.094,3.776,8.549,8.21,3.865,3.022,3.197,3.658,3.518,3.985,3.016,6.628,6.481,7.067,4.981,3.001,3.503,3.276,5.04,4.613,5.344,3.912,4.574,2.455,1.559,5.409,1.45,1.744,3.482,1.68,2.373,2.666,1.836,2.618,2.68,3.857,7.084,6.419,4.859,3.6,3.639,1.205,3.405,5.633,3.499,2.665,3.816,6.465,4.389,3.115,4.802,1.059,14.847,16.171,11.849,4.049,4.166,3.451,7.362,4.28,7.807,4.436,5.37,4.098,7.371,0.757,1.461,5.331,2.586,5.75,5.578,6.407,5.794,3.162
Blackhall,5.744,6.021,9.967,1.991,2.954,9.423,6.366,,6.31,4.761,2.694,3.739,4.233,4.671,3.953,5.177,3.866,2.642,1.857,5.348,5.598,5.853,2.558,6.764,2.302,1.93,3.137,7.939,1.763,4.332,8.024,2.974,7.203,7.963,8.779,3.254,2.733,0.934,8.625,2.805,3.014,5.747,7.236,9.562,9.903,2.965,2.936,9.004,2.62,2.932,1.827,5.532,5.377,5.22,9.562,3.438,10.076,10.196,5.27,6.376,8.771,7.743,3.964,5.049,4.628,6.105,5.05,4.195,9.032,4.987,4.856,8.373,8.024,1.133,4.704,1.541,4.422,3.582,5.862,9.114,5.093,7.496,4.516,6.3,4.26,5.124,3.377,9.077,6.818,8.602,9.944,7.308,7.165,6.6,3.436,1.043,3.407,3.524,5.713,3.005,3.113,5.01,5.623,7.827,6.023,3.889,3.652,4.553,1.618,5.61,7.206
Bonaly and The Pentlands,8.269,1.604,5.413,4.497,7.212,10.32,6.062,6.31,,8.985,8.207,2.923,8.116,8.283,5.102,7.098,7.533,3.812,6.149,1.422,1.122,2.145,6.619,2.808,4.563,5.416,3.762,10.158,6.7,2.586,8.256,8.116,2.617,3.631,10.526,5.238,5.721,6.902,9.829,6.283,5.491,8.819,3.895,8.159,7.629,4.72,4.043,6.484,8.511,8.665,8.069,9.469,3.073,8.225,7.532,8.115,10.603,11.404,8.565,9.662,7.121,6.205,2.346,6.055,5.555,8.739,6.413,4.579,7.734,4.474,3.629,5.73,9.797,7.441,1.962,5.369,7.724,7.01,6.765,9.376,9.626,9.357,6.937,2.414,2.443,8.816,4.665,10.813,7.112,12.146,13.285,7.149,9.655,9.487,3.994,7.156,3.257,4.447,9.204,3.304,7.019,2.563,5.865,6.883,9.98,5.893,8.751,9.249,7.64,10.037,8.994
Bonnington,2.16,9.468,13.828,5.073,7.568,5.703,4.967,4.761,8.985,,2.38,7.526,0.876,0.9,4.008,2.774,1.454,6.564,6.615,8.672,7.914,7.403,2.581,7.797,6.707,6.623,7.297,3.687,3.065,6.4,5.224,7.178,10.837,11.781,13.441,3.748,3.315,3.886,4.885,7.561,7.736,1.597,7.576,7.463,8.354,4.287,5.032,7.937,2.954,2.592,3.99,0.785,6.437,1.558,7.934,1.327,6.466,6.149,1.221,1.808,7.133,6.477,7.084,3.716,3.897,2.172,3.366,4.584,7.029,5.089,5.703,7.647,4.047,4.599,8.179,4.236,1.427,1.975,3.8,5.914,0.691,3.614,2.407,7.6,7.909,0.727,4.322,4.9,4.589,12.771,14.104,12.029,2.923,2.241,4.992,5.223,5.822,8.024,1.191,6.358,2.042,8.869,4.388,6.054,1.263,3.205,1.451,0.691,3.529,1.053,3.489
