Location,Station,Size
Balgreen and Roseburn,1.0,8.0
Blackhall,1.0,4.0
Broughton North and Powderhall,1.0,12.0
Broughton South,1.0,19.0
Bruntsfield,1.0,6.0
Comely Bank,1.0,10.0
Dalry and Fountainbridge,1.0,7.0
Drylaw,1.0,9.0
Gorgie East,1.0,28.0
Hillside and Calton Hill,1.0,8.0
Marchmont East and Sciennes,1.0,3.0
Marchmont West,1.0,2.0
Meadowbank and Abbeyhill North,1.0,29.0
Merchiston and Greenhill,1.0,11.0
New Town East and Gayfield,1.0,6.0
Newington and Dalkeith Road,1.0,3.0
"Old Town, Princes Street and Leith Street",1.0,100.0
Prestonfield,1.0,7.0
Stockbridge,1.0,28.0
Tollcross,1.0,70.0
