Location,Station,Size
Balgreen and Roseburn,0.0,0.0
Blackhall,0.0,0.0
Broughton North and Powderhall,1.0,18.0
Broughton South,0.0,0.0
Bruntsfield,1.0,58.0
Comely Bank,0.0,0.0
Dalry and Fountainbridge,1.0,60.0
Drylaw,0.0,0.0
Gorgie East,0.0,0.0
Hillside and Calton Hill,1.0,15.0
Marchmont East and Sciennes,1.0,19.0
Marchmont West,0.0,0.0
Meadowbank and Abbeyhill North,0.0,0.0
Merchiston and Greenhill,1.0,16.0
New Town East and Gayfield,1.0,6.0
Newington and Dalkeith Road,0.0,0.0
"Old Town, Princes Street and Leith Street",1.0,100.0
Prestonfield,0.0,0.0
Stockbridge,1.0,26.0
Tollcross,1.0,100.0
