,0
"#Available_Scooters_(0,_0)",6.0
"#Available_Scooters_(0,_1)",6.0
"#Available_Scooters_(0,_10)",0.0
"#Available_Scooters_(0,_11)",2.0
"#Available_Scooters_(0,_12)",4.0
"#Available_Scooters_(0,_13)",7.0
"#Available_Scooters_(0,_14)",8.0
"#Available_Scooters_(0,_15)",8.0
"#Available_Scooters_(0,_16)",8.0
"#Available_Scooters_(0,_17)",8.0
"#Available_Scooters_(0,_18)",8.0
"#Available_Scooters_(0,_19)",8.0
"#Available_Scooters_(0,_2)",4.0
"#Available_Scooters_(0,_3)",1.0
"#Available_Scooters_(0,_4)",0.0
"#Available_Scooters_(0,_5)",0.0
"#Available_Scooters_(0,_6)",0.0
"#Available_Scooters_(0,_7)",0.0
"#Available_Scooters_(0,_8)",0.0
"#Available_Scooters_(0,_9)",0.0
"#Available_Scooters_(1,_0)",3.0
"#Available_Scooters_(1,_1)",3.0
"#Available_Scooters_(1,_10)",1.0
"#Available_Scooters_(1,_11)",2.0
"#Available_Scooters_(1,_12)",3.0
"#Available_Scooters_(1,_13)",4.0
"#Available_Scooters_(1,_14)",4.0
"#Available_Scooters_(1,_15)",4.0
"#Available_Scooters_(1,_16)",4.0
"#Available_Scooters_(1,_17)",4.0
"#Available_Scooters_(1,_18)",4.0
"#Available_Scooters_(1,_19)",4.0
"#Available_Scooters_(1,_2)",2.0
"#Available_Scooters_(1,_3)",1.0
"#Available_Scooters_(1,_4)",1.0
"#Available_Scooters_(1,_5)",1.0
"#Available_Scooters_(1,_6)",1.0
"#Available_Scooters_(1,_7)",1.0
"#Available_Scooters_(1,_8)",1.0
"#Available_Scooters_(1,_9)",1.0
"#Available_Scooters_(10,_0)",0.0
"#Available_Scooters_(10,_1)",0.0
"#Available_Scooters_(10,_10)",2.0
"#Available_Scooters_(10,_11)",3.0
"#Available_Scooters_(10,_12)",3.0
"#Available_Scooters_(10,_13)",2.0
"#Available_Scooters_(10,_14)",1.0
"#Available_Scooters_(10,_15)",2.0
"#Available_Scooters_(10,_16)",3.0
"#Available_Scooters_(10,_17)",3.0
"#Available_Scooters_(10,_18)",3.0
"#Available_Scooters_(10,_19)",3.0
"#Available_Scooters_(10,_2)",1.0
"#Available_Scooters_(10,_3)",2.0
"#Available_Scooters_(10,_4)",2.0
"#Available_Scooters_(10,_5)",0.0
"#Available_Scooters_(10,_6)",0.0
"#Available_Scooters_(10,_7)",0.0
"#Available_Scooters_(10,_8)",0.0
"#Available_Scooters_(10,_9)",0.0
"#Available_Scooters_(11,_0)",0.0
"#Available_Scooters_(11,_1)",0.0
"#Available_Scooters_(11,_10)",2.0
"#Available_Scooters_(11,_11)",2.0
"#Available_Scooters_(11,_12)",1.0
"#Available_Scooters_(11,_13)",2.0
"#Available_Scooters_(11,_14)",2.0
"#Available_Scooters_(11,_15)",2.0
"#Available_Scooters_(11,_16)",2.0
"#Available_Scooters_(11,_17)",2.0
"#Available_Scooters_(11,_18)",2.0
"#Available_Scooters_(11,_19)",2.0
"#Available_Scooters_(11,_2)",1.0
"#Available_Scooters_(11,_3)",1.0
